,account.length,voice.plan,voice.messages,intl.plan,intl.mins,intl.calls,intl.charge,day.mins,day.calls,day.charge,eve.mins,eve.calls,eve.charge,night.mins,night.calls,night.charge,customer.calls,churn
1268,86,no,0,no,5.4,7,1.46,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,1,0
1269,131,no,0,no,10.8,7,2.92,211.8,115,36.01,260.5,102,22.14,144.2,96,6.49,0,0
1270,55,yes,45,no,11.0,5,2.97,130.5,114,22.19,208.4,94,17.71,141.6,114,6.37,4,1
1271,74,no,0,no,8.7,6,2.35,162.7,102,27.66,292.0,105,24.82,183.3,80,8.25,0,0
1272,81,yes,37,yes,7.9,3,2.13,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,1,0
1273,81,no,0,no,13.2,2,3.56,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,4,0
1274,28,no,0,no,8.3,2,2.24,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,6,1
1275,111,no,0,no,11.2,2,3.02,176.4,62,29.99,201.0,124,17.09,150.4,138,6.77,0,0
1276,3,yes,27,no,11.4,2,3.08,67.4,116,11.46,244.0,78,20.74,281.1,93,12.65,2,0
1277,51,no,0,no,9.6,1,2.59,229.7,129,39.05,336.0,104,28.56,192.8,128,8.68,1,1
1278,68,yes,24,no,14.7,7,3.97,176.0,118,29.92,277.9,116,23.62,174.7,71,7.86,1,0
1279,163,no,0,no,9.6,7,2.59,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,0,1
1280,87,no,0,no,13.1,5,3.54,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,2,0
1281,58,no,0,no,13.9,1,3.75,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,0,1
1282,109,no,0,no,11.5,4,3.11,162.6,138,27.64,154.0,109,13.09,209.7,118,9.44,0,0
1283,111,no,0,no,10.4,6,2.81,229.4,107,39.0,214.1,99,18.2,289.6,95,13.03,4,0
1284,144,no,0,no,15.0,4,4.05,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,2,0
1285,135,no,0,no,8.4,2,2.27,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,5,1
1287,107,yes,14,no,7.5,8,2.03,114.3,132,19.43,199.8,91,16.98,194.7,74,8.76,1,0
1288,149,no,0,no,7.7,3,2.08,196.3,108,33.37,136.8,96,11.63,154.7,87,6.96,2,0
1289,56,no,0,no,4.4,4,1.19,253.2,95,43.04,188.0,116,15.98,142.0,133,6.39,1,0
1290,129,no,0,no,10.5,4,2.84,98.0,99,16.66,240.7,62,20.46,254.8,123,11.47,0,0
1291,92,no,0,no,9.1,3,2.46,249.4,118,42.4,211.5,95,17.98,169.0,116,7.61,0,0
1292,67,yes,30,no,14.5,5,3.92,129.6,107,22.03,233.0,104,19.81,297.0,93,13.37,1,0
1293,120,no,0,no,9.3,7,2.51,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,0,0
1294,166,no,0,no,12.4,9,3.35,220.7,106,37.52,177.8,118,15.11,206.1,102,9.27,1,0
1295,66,no,0,no,9.2,5,2.48,87.6,76,14.89,262.0,111,22.27,184.6,125,8.31,1,0
1296,76,no,0,no,8.4,3,2.27,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,0,0
1298,98,yes,31,no,12.9,4,3.48,181.6,112,30.87,220.7,100,18.76,236.3,121,10.63,2,0
1299,141,yes,22,no,7.8,6,2.11,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,1,0
1300,49,no,0,no,14.0,2,3.78,266.3,90,45.27,207.8,117,17.66,205.0,98,9.23,2,1
1301,46,no,0,no,10.2,2,2.75,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,3,0
1302,137,no,0,no,7.3,4,1.97,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,3,0
1303,171,no,0,no,9.6,5,2.59,270.5,69,45.99,230.0,112,19.55,136.0,111,6.12,1,1
1304,10,no,0,no,12.9,4,3.48,222.2,127,37.77,153.1,125,13.01,227.4,80,10.23,1,0
1305,88,no,0,no,8.8,2,2.38,61.9,78,10.52,262.6,114,22.32,212.5,110,9.56,3,0
1306,89,no,0,no,10.8,2,2.92,141.1,92,23.99,249.1,126,21.17,136.0,73,6.12,2,0
1307,82,no,0,no,10.6,5,2.86,189.2,81,32.16,184.4,117,15.67,255.8,83,11.51,3,1
1308,139,no,0,no,9.8,1,2.65,196.0,135,33.32,186.0,146,15.81,153.0,92,6.89,3,0
1309,87,no,0,no,13.8,4,3.73,171.6,119,29.17,205.0,107,17.43,170.6,114,7.68,0,0
1310,137,no,0,yes,11.4,3,3.08,174.0,123,29.58,161.3,115,13.71,260.7,98,11.73,2,0
1311,45,no,0,no,7.4,5,2.0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,1,1
1312,90,no,0,no,8.9,7,2.4,200.9,92,34.15,164.3,91,13.97,249.0,98,11.21,1,0
1313,103,no,0,no,6.4,2,1.73,141.3,123,24.02,253.6,87,21.56,215.8,96,9.71,1,0
1315,110,no,0,no,6.3,4,1.7,185.1,100,31.47,165.1,88,14.03,111.6,104,5.02,3,0
1316,124,no,0,no,11.8,2,3.19,254.3,113,43.23,78.9,104,6.71,153.2,69,6.89,2,0
1317,10,no,0,no,8.7,6,2.35,183.0,103,31.11,214.8,77,18.26,206.4,73,9.29,2,0
1319,121,no,0,no,7.7,2,2.08,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,2,0
1320,101,no,0,no,6.1,3,1.65,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,3,0
1321,103,yes,31,no,14.5,4,3.92,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,2,0
1322,51,no,0,no,8.9,5,2.4,197.8,60,33.63,221.0,64,18.79,168.6,134,7.59,1,0
1323,2,no,0,yes,9.1,1,2.46,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,2,1
1325,118,no,0,no,12.6,5,3.4,154.6,112,26.28,184.2,105,15.66,217.4,102,9.78,2,0
1326,17,yes,31,no,10.0,1,2.7,153.1,115,26.03,185.9,59,15.8,224.3,102,10.09,6,1
1327,130,no,0,no,6.3,9,1.7,211.2,119,35.9,231.1,120,19.64,220.9,80,9.94,2,0
1328,193,no,0,no,10.9,5,2.94,96.8,92,16.46,142.6,103,12.12,210.1,115,9.45,2,1
1329,114,no,0,no,10.1,9,2.73,172.0,145,29.24,276.4,101,23.49,193.7,100,8.72,1,0
1330,137,no,0,no,8.0,7,2.16,141.1,91,23.99,147.2,100,12.51,254.7,75,11.46,2,0
1331,185,yes,29,no,13.8,2,3.73,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,2,0
1332,101,no,0,no,7.6,2,2.05,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,3,0
1333,95,yes,32,no,10.5,4,2.84,247.0,109,41.99,125.6,91,10.68,226.5,90,10.19,3,0
1335,126,no,0,no,8.0,4,2.16,321.3,99,54.62,167.9,93,14.27,193.6,106,8.71,1,1
1337,124,no,0,no,11.1,6,3.0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,3,0
1338,97,no,0,yes,7.3,2,1.97,236.9,107,40.27,157.6,105,13.4,241.0,120,10.85,0,1
1339,28,no,0,no,9.3,3,2.51,159.7,79,27.15,216.7,131,18.42,206.7,116,9.3,2,0
1340,90,no,0,yes,9.2,1,2.48,148.2,96,25.19,220.4,111,18.73,134.2,97,6.04,4,1
1341,190,no,0,no,14.7,1,3.97,150.9,86,25.65,268.6,129,22.83,179.9,73,8.1,1,0
1342,31,yes,28,no,11.5,2,3.11,210.5,101,35.79,250.5,86,21.29,241.6,125,10.87,1,0
1343,52,yes,24,no,4.1,5,1.11,170.9,71,29.05,201.4,80,17.12,159.0,124,7.15,2,0
1344,73,no,0,no,10.6,8,2.86,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,0,0
1345,111,no,0,no,8.4,8,2.27,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,0,1
1346,98,no,0,no,6.8,1,1.84,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,4,1
1347,106,no,0,yes,10.7,2,2.89,133.7,45,22.73,187.8,107,15.96,181.9,89,8.19,1,1
1348,111,no,0,no,10.3,3,2.78,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,0,0
1349,59,no,0,no,11.9,5,3.21,151.8,98,25.81,209.9,92,17.84,266.9,86,12.01,1,0
1350,71,yes,22,no,5.6,3,1.51,141.4,107,24.04,163.0,105,13.86,220.0,99,9.9,2,0
1351,55,no,0,no,14.8,7,4.0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,0,1
1352,13,no,0,no,11.9,5,3.21,58.4,121,9.93,262.2,64,22.29,159.0,115,7.15,1,0
1353,136,yes,16,no,13.1,4,3.54,90.4,105,15.37,201.3,109,17.11,227.1,115,10.22,0,0
1354,123,no,0,no,11.0,3,2.97,114.4,91,19.45,216.6,123,18.41,250.6,102,11.28,0,0
1355,105,no,0,no,12.8,3,3.46,147.7,103,25.11,222.7,78,18.93,163.5,102,7.36,2,0
1357,118,no,0,no,11.3,4,3.05,136.1,120,23.14,204.2,103,17.36,228.2,90,10.27,1,0
1358,97,no,0,no,12.8,6,3.46,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,3,0
1359,51,no,0,no,14.9,2,4.02,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,0,0
1360,73,no,0,no,10.3,6,2.78,217.8,91,37.03,220.6,97,18.75,277.3,89,12.48,1,1
1361,35,no,0,no,13.1,8,3.54,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,2,0
1362,64,no,0,no,13.6,2,3.67,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,1,0
1363,63,no,0,no,9.9,2,2.67,132.9,122,22.59,67.0,62,5.7,160.4,121,7.22,3,0
1364,117,yes,31,no,7.7,6,2.08,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,3,0
1365,115,no,0,no,13.7,8,3.7,245.0,97,41.65,250.7,75,21.31,270.2,124,12.16,1,1
1366,162,no,0,no,11.6,3,3.13,184.5,118,31.37,224.0,95,19.04,180.5,82,8.12,1,0
1367,89,no,0,no,12.3,1,3.32,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,3,0
1368,94,no,0,yes,8.6,4,2.32,235.6,131,40.05,194.8,107,16.56,170.6,93,7.68,1,0
1369,129,no,0,no,11.5,6,3.11,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,4,0
1370,86,no,0,no,7.3,9,1.97,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,1,0
1371,96,no,0,no,6.6,2,1.78,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,1,0
1372,190,no,0,no,8.9,5,2.4,169.4,102,28.8,253.5,113,21.55,197.1,93,8.87,1,0
1373,80,no,0,no,8.2,6,2.21,118.1,90,20.08,144.3,77,12.27,225.1,86,10.13,1,0
1374,108,no,0,no,4.1,4,1.11,112.0,105,19.04,193.7,110,16.46,208.9,93,9.4,4,1
1375,97,yes,32,no,8.5,7,2.3,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,0,0
1376,84,yes,42,no,11.3,10,3.05,214.3,112,36.43,188.2,107,16.0,333.5,117,15.01,0,0
1377,65,no,0,no,4.2,5,1.13,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4,1
1378,131,yes,34,no,13.4,10,3.62,156.6,134,26.62,71.0,95,6.04,261.7,120,11.78,1,0
1380,36,no,0,no,10.2,2,2.75,202.4,115,34.41,230.7,115,19.61,202.0,127,9.09,3,0
1381,54,no,0,no,12.0,2,3.24,116.8,119,19.86,123.1,123,10.46,217.5,101,9.79,1,0
1382,45,no,0,no,11.0,1,2.97,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,1,0
1383,125,yes,39,no,9.1,4,2.46,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,2,0
1384,72,yes,21,no,8.2,2,2.21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,2,0
1385,141,no,0,no,10.1,3,2.73,51.9,108,8.82,162.0,83,13.77,223.5,115,10.06,3,0
1386,113,no,0,no,8.9,3,2.4,81.3,116,13.82,220.6,124,18.75,235.7,113,10.61,0,0
1387,20,yes,35,no,7.1,3,1.92,171.5,98,29.16,153.1,127,13.01,165.6,125,7.45,0,0
1389,99,no,0,yes,9.9,6,2.67,197.2,127,33.52,156.0,92,13.26,204.1,99,9.18,4,0
1390,94,no,0,no,15.3,4,4.13,194.1,62,33.0,227.2,54,19.31,190.4,115,8.57,1,0
1391,40,no,0,no,9.3,6,2.51,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,1,0
1392,86,yes,29,no,8.4,5,2.27,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,3,0
1393,101,no,0,no,4.5,15,1.22,269.7,85,45.85,207.6,86,17.65,214.2,107,9.64,3,1
1394,170,no,0,no,9.1,8,2.46,246.4,107,41.89,228.1,124,19.39,166.4,95,7.49,0,0
1395,105,no,0,no,13.0,4,3.51,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,1,0
1396,103,no,0,no,12.2,4,3.29,189.8,110,32.27,115.5,83,9.82,191.3,103,8.61,0,0
1397,140,yes,27,yes,11.5,5,3.11,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,4,0
1399,98,yes,19,no,11.0,4,2.97,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,1,0
1400,104,no,0,no,11.7,2,3.16,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,4,0
1402,112,no,0,no,11.9,4,3.21,167.8,88,28.53,247.9,81,21.07,155.1,108,6.98,0,0
1403,70,no,0,no,5.7,4,1.54,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,1,0
1404,126,no,0,no,10.6,1,2.86,175.4,120,29.82,98.3,71,8.36,201.9,93,9.09,0,0
1405,87,yes,39,no,9.5,1,2.57,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,3,0
1406,125,no,0,no,8.8,7,2.38,143.2,80,24.34,88.1,94,7.49,233.2,135,10.49,4,1
1407,86,no,0,no,8.9,8,2.4,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,1,0
1408,73,yes,31,no,11.8,2,3.19,82.3,105,13.99,256.1,91,21.77,229.6,98,10.33,6,1
1410,1,yes,30,no,8.4,2,2.27,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,0,0
1411,133,no,0,no,12.2,5,3.29,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,1,0
1412,103,no,0,no,7.7,6,2.08,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,1,0
1413,131,yes,24,no,9.4,4,2.54,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,1,0
1414,95,yes,20,no,9.8,6,2.65,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,0,0
1415,182,no,0,no,9.7,4,2.62,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,1,0
1416,99,no,0,no,9.1,1,2.46,142.3,89,24.19,204.5,95,17.38,203.1,114,9.14,0,0
1417,27,no,0,no,7.6,3,2.05,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,3,0
1418,141,no,0,no,10.7,7,2.89,83.2,74,14.14,200.58032556270126,104,16.2,150.5,79,6.77,1,0
1419,29,yes,37,yes,5.7,7,1.54,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,2,0
1421,81,no,0,yes,17.9,3,4.83,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,3,1
1422,37,yes,20,no,10.4,7,2.81,264.7,81,45.0,216.5,110,18.4,210.7,102,9.48,0,0
1424,127,yes,28,yes,10.4,3,2.81,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,1,0
1425,78,no,0,no,11.7,5,3.16,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,0,0
1426,55,no,0,no,4.6,2,1.24,119.7,148,20.35,231.8,96,19.7,222.3,113,10.0,2,0
1427,86,yes,30,no,9.8,7,2.65,99.9,84,16.98,263.5,125,22.4,254.7,90,11.46,2,0
1428,176,no,0,no,9.6,6,2.59,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,2,0
1429,96,no,0,yes,11.2,5,3.02,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,2,0
1430,11,yes,38,no,7.0,7,1.89,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,1,0
1431,48,yes,34,no,7.6,4,2.05,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,1,0
1432,127,no,0,no,11.3,5,3.05,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,1,0
1433,63,no,0,no,11.2,2,3.02,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,0,0
1434,79,no,0,no,12.2,2,3.29,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,1,0
1435,47,yes,37,no,13.2,6,3.56,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,2,0
1436,89,yes,19,yes,11.1,2,3.0,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,0,1
1437,83,yes,26,no,10.8,7,2.92,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,1,0
1438,126,yes,34,yes,9.7,6,2.62,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,4,0
1439,60,no,0,no,15.1,6,4.08,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,2,0
1440,122,no,0,no,8.6,4,2.32,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,0,0
1441,136,no,0,no,5.0,10,1.35,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,1,0
1443,102,no,0,no,8.3,3,2.24,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,1,1
1444,113,no,0,yes,9.2,7,2.48,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,1,0
1445,79,no,0,no,8.9,4,2.4,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,3,0
1447,111,yes,28,no,10.3,2,2.78,128.8,104,21.9,157.3,52,13.37,147.4,76,6.63,2,0
1448,160,no,0,no,8.3,2,2.24,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,0,0
1449,110,no,0,no,7.8,3,2.11,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,4,0
1450,192,no,0,no,12.7,6,3.43,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,4,0
1451,93,no,0,no,10.9,9,2.94,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,0,0
1452,101,yes,33,no,9.5,2,2.57,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,2,0
1453,77,no,0,no,12.3,3,3.32,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,2,0
1454,105,yes,40,no,8.1,3,2.19,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,2,0
1455,133,yes,44,no,14.1,7,3.81,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,2,1
1456,131,no,0,no,6.6,7,1.78,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,1,0
1457,106,yes,33,no,9.9,4,2.67,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,1,0
1458,118,no,0,no,5.9,4,1.59,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,1,0
1459,125,no,0,no,8.6,4,2.32,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,1,0
1460,95,no,0,no,16.1,8,4.35,197.0,88,33.49,190.4,68,16.18,211.9,104,9.54,0,0
1462,145,no,0,no,10.0,6,2.7,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,0,0
1463,37,no,0,no,8.1,4,2.19,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,2,0
1464,87,no,0,no,7.6,6,2.05,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,1,0
1465,69,no,0,no,9.0,5,2.43,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,3,0
1466,83,no,0,no,8.6,2,2.32,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,1,0
1467,195,no,0,no,5.1,3,1.38,63.2,108,10.74,220.2,88,18.72,184.0,99,8.28,0,0
1468,67,yes,35,yes,16.9,4,4.56,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,0,1
1469,75,yes,27,no,4.2,7,1.13,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,3,0
1470,123,yes,27,no,15.0,1,4.05,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,0,0
1471,41,yes,41,no,5.9,3,1.59,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,1,0
1472,75,no,0,no,8.1,5,2.19,150.6,99,25.6,301.5,83,25.63,158.7,104,7.14,0,0
1473,76,no,0,yes,12.0,7,3.24,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,1,1
1474,86,no,0,yes,10.3,4,2.78,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,1,0
1475,140,no,0,no,16.3,6,4.4,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,0,0
1476,70,no,0,no,15.8,7,4.27,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,3,0
1477,121,yes,35,no,5.9,4,1.59,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,0,0
1478,112,no,0,no,9.8,5,2.65,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,1,0
1479,118,no,0,no,9.7,7,2.62,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,2,0
1480,66,yes,16,no,8.9,2,2.4,174.7,92,29.7,232.1,105,19.73,305.4,98,13.74,1,0
1481,78,no,0,no,11.0,5,2.97,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,0,0
1482,129,yes,34,no,14.8,9,4.0,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,2,0
1483,6,no,0,no,9.4,4,2.54,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,3,0
1484,107,no,0,yes,10.0,3,2.7,234.1,91,39.8,200.58032556270126,105,13.86,282.5,100,12.71,1,0
1485,107,no,0,yes,12.9,2,3.48,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,3,1
1486,138,no,0,no,15.4,3,4.16,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,1,0
1487,103,no,0,no,9.7,2,2.62,160.2,104,27.23,138.9,70,11.81,312.5,97,14.06,0,0
1489,189,no,0,no,6.3,4,1.7,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,2,0
1490,161,no,0,no,11.8,2,3.19,72.8,120,12.38,267.1,120,22.7,222.5,91,10.01,2,0
1491,1,no,0,no,7.0,2,1.89,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,1,0
1492,89,no,0,no,12.8,3,3.46,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,1,0
1493,64,no,0,no,9.7,5,2.62,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,1,0
1494,126,yes,30,no,12.8,4,3.46,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,4,1
1495,129,no,0,no,4.9,10,1.32,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,2,0
1496,128,yes,32,no,10.8,4,2.92,222.9,136,37.89,262.0,80,22.27,191.4,101,8.61,0,0
1497,81,yes,36,no,11.7,6,3.16,115.9,120,19.7,236.6,95,20.11,255.0,90,11.48,3,0
1498,114,no,0,no,10.6,5,2.86,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,1,0
1499,50,no,0,no,11.1,3,3.0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,0,0
1500,86,no,0,no,11.5,1,3.11,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,3,0
1501,96,no,0,no,12.2,6,3.29,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,1,0
1502,72,no,0,no,12.7,2,3.43,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,0,0
1503,64,yes,40,no,5.9,4,1.59,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,8,0
1504,57,yes,17,yes,12.2,3,3.29,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,2,0
1505,65,no,0,no,8.5,3,2.3,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,2,0
1506,163,no,0,no,8.8,5,2.38,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,1,0
1507,136,no,0,no,10.7,3,2.89,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,2,0
1508,116,no,0,no,12.0,6,3.24,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,1,0
1509,93,no,0,no,6.6,5,1.78,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,3,0
1510,142,yes,40,no,9.2,3,2.48,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,3,0
1511,92,no,0,no,8.6,2,2.32,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,1,0
1512,70,no,0,no,6.7,6,1.81,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,1,0
1513,22,yes,14,no,4.2,1,1.13,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,1,0
1514,37,no,0,no,12.0,2,3.24,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,2,0
1515,51,no,0,no,7.0,3,1.89,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,1,0
1516,174,no,0,no,10.0,5,2.7,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,2,0
1517,68,no,0,no,8.4,3,2.27,213.9,112,36.36,260.5,100,22.14,233.8,97,10.52,1,1
1518,130,no,0,no,12.4,2,3.35,207.1,70,35.21,200.1,115,17.01,194.2,100,8.74,1,0
1519,104,no,0,no,11.3,5,3.05,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,2,0
1520,134,no,0,no,8.9,3,2.4,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,2,0
1521,108,yes,35,no,9.5,7,2.57,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,2,0
1522,103,no,0,no,9.7,2,2.62,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,3,0
1523,62,no,0,no,5.6,4,1.51,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,1,0
1524,162,no,0,no,11.4,3,3.08,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,2,0
1525,93,yes,19,no,12.5,3,3.38,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,2,0
1526,42,no,0,no,13.1,6,3.54,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,1,0
1528,36,no,0,no,9.0,2,2.43,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,0,0
1529,143,no,0,no,4.5,4,1.22,223.3,99,37.96,167.1,128,14.2,203.0,84,9.14,0,1
1530,197,no,0,no,10.6,2,2.86,154.8,111,26.32,171.5,102,14.58,227.3,86,10.23,3,0
1531,81,no,0,no,8.0,6,2.16,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,1,1
1532,138,no,0,yes,9.6,4,2.59,46.5,104,7.91,186.0,114,15.81,167.5,95,7.54,4,1
1533,103,yes,18,no,11.5,7,3.11,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,0,1
1534,127,no,0,yes,13.9,5,3.75,242.2,102,41.17,226.1,80,19.22,252.0,96,11.34,2,1
1535,136,no,0,no,10.7,6,2.89,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,1,1
1536,99,no,0,no,12.0,8,3.24,222.4,102,37.81,185.8,89,15.79,237.7,81,10.7,2,0
1537,95,no,0,no,8.9,5,2.4,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,0,0
1538,118,yes,21,yes,11.1,3,3.0,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,4,1
